"编号";"位号";"封装";"数量";"名称";"供应商编号";
1;"C78,C6,C53,C51,C44,C58,C3,C52,C5,C9,C57";"C-0402";11;"10V/1uf";;;
2;"C48,C63,C46,C54,C72,C60,C27,C47,C22,C25,C26,C28,C17,C20,C84,C7,C29,C18,C2,C8,C33,C61,C21,C40,C45,C16,C19,C23,C59,C24,C67";"C-0402";31;"50V/100nf";;;
3;"IIC_3V3,J1,IIC_5V,J4,EX_UART";"GH1.25-立-4P";5;"Conn_01x04_Socket";;;
4;"R18,R3,R23,R21,R15,R19,R5,R12";"R-0402";8;"2.2K";;;
5;"R10,R56,R14,R17,R9,R16,R8,R7,R13";"R-0402";9;"470R";;;
6;"L2,L1";"L-0630";2;"3.3uH/5.2A";;;
7;"R78,R79,R_BS,R81,R35,R34";"R-0402";6;"10K";;;
8;"LDO1";"SOT-223-3_TabPin2";1;"SGM2225-3.3XKC3G/TR";;;
9;"0x40";"SOT-23-8";1;"INA219AxD";;;
10;"3V3,5V";"LED-0603-Y";2;"LED_Y";;;
11;"D1,D14,D3,D13";"SOD-323";4;"ESD5V0B03";;;
12;"D6";"SOD-323";1;"1N4148WS";;;
13;"Q18,Q1,Q11,Q2,Q10,Q15,Q3,Q4,Q17";"SOT-23-3";9;"AO3400A";;;
14;"U7";"ESP32-WROOM-32E";1;"ESP32-WROOM-32E-N4";;;
15;"D54,D53,D52,D51";"c167b71becf44403bc24886c573a5209";4;"SL54B";;;
16;"C4,C10";"C-0603";2;"10V/10uf";;;
17;"R45";"R-0402";1;"56K 1%";;;
18;"C75,C70,C71,C68,C74,C30,C32,C41,C31,C69,C73";"C-0805";11;"16V/22uf";;;
19;"FID2,FID1,FID8,FID3,FID7,FID6,FID4,FID5";"铜柱";8;"Fiducial";;;
20;"R59,R54,R77,R76";"R-0402";4;"100K";;;
21;"C81,C90,C82,C92,C98,C89,C95,C97,C80,C96,C91,C99,C86,C94,C88,C85,C87,C83,C93";"C-1210";19;"25V/47uf";;;
22;"R41,R40";"R-0402";2;"5.1K";;;
23;"R20,R72";"R-0402";2;"4.7K";;;
24;"CPU_FAN";"JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical";1;"Fan_4pin";;;
25;"C39,C56,C62,C34,C64,C38,C49,C37,C55,C35,C50,C36";"C-0402";12;"50V/220nf";;;
26;"R2728";"R-2728";1;"0.01R";;;
27;"DCDC2,DCDC1";"QFN-12-MP8756";2;"MP8756GD";;;
