"编号";"位号";"封装";"数量";"名称";"供应商编号";
1;", ";"";2;"";;;
2;"0x40";"SOT-23-8";1;"INA219AxD";;;
3;"0x68";"QFN-24-4X4-PAD";1;"MPU-6050";;;
4;"3S BATTERY";"XT30PW-M";1;"Conn_01x02_Pin";;;
5;"3V3, 5V";"LED-0603-Y";2;"LED_Y";;;
6;"5V 5V OUT G G";"GH1.25-立-5P";1;"Conn_01x05_Socket";;;
7;"A1";"LattePanda_Module_H8.0mm_Horizontal";1;"ASAA826-E8SB0-7H";;;
8;"ACT, VDC";"LED-0603-R";2;"LED_R";;;
9;"BOOT, CPU_ON, CPU_RESET, RESET";"SWITCH-3*4*2.5";4;"SW_Push";;;
10;"BT1";"Battery_Holder_CR1220_S8411-45R";1;"XDCR-1220-006";;;
11;"BZ1";"BEEP-MLT-8530";1;"Buzzer";;;
12;"C1";"C-0402";1;"25V/1uf";;;
13;"C2, C7, C8, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C33, C40, C45, C46, C47, C48, C54, C59, C60, C61, C63, C67, C72, C84";"C-0402";31;"50V/100nf";;;
14;"C3, C5, C6, C9, C44, C51, C52, C53, C57, C58, C78";"C-0402";11;"10V/1uf";;;
15;"C4, C10";"C-0603";2;"10V/10uf";;;
16;"C13, C42";"C-0402";2;"50V/100pf";;;
17;"C15, C65, C66";"C-0603";3;"25V/1uf";;;
18;"C30, C31, C32, C41, C68, C69, C70, C71, C73, C74, C75";"C-0805";11;"16V/22uf";;;
19;"C34, C35, C36, C37, C38, C39, C49, C50, C55, C56, C62, C64";"C-0402";12;"50V/220nf";;;
20;"C43";"C-0402";1;"50V/2.2nf";;;
21;"C76, C77";"C-1206";2;"25V/22uf";;;
22;"C80, C81, C82, C83, C85, C86, C87, C88, C89, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99";"C-1210";19;"25V/47uf";;;
23;"Camera";"Camera Mount";1;"摄像头";;;
24;"CH1_ST, CH2_TH, PWM_1, PWM_2";"J-2.54-1X3";4;"Conn_01x03_Socket";;;
25;"CPU_FAN";"JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical";1;"Fan_4pin";;;
26;"D1, D3, D13, D14";"SOD-323";4;"ESD5V0B03";;;
27;"D2, D5";"SOD-123";2;"SMFJ5.0CA";;;
28;"D4, D8, D26";"SOD-123";3;"1N5819WS";;;
29;"D6";"SOD-323";1;"1N4148WS";;;
30;"D12, ESD3, ESD4, ESD5";"SOT-143";4;"SP0503BAHT";;;
31;"D34";"SOD-323";1;"1N5819WS";;;
32;"D41, D42, D43, D44";"SOD-323";4;"ESD-5V0B03";;;
33;"D51, D52, D53, D54";"c167b71becf44403bc24886c573a5209";4;"SL54B";;;
34;"DCDC1, DCDC2";"QFN-12-MP8756";2;"MP8756GD";;;
35;"ESC_POWER";"XT30PW-F";1;"电调供电";;;
36;"ESD1, ESD2";"ESD-USON-10_0P5_2P5X1X0P55MM";2;"TPAZ1023-04F";;;
37;"EX_UART, IIC_3V3, IIC_5V, J1, J4";"GH1.25-立-4P";5;"Conn_01x04_Socket";;;
38;"F2, F3";"FUSE-0603";2;"6V/500mA";;;
39;"F4, F5";"FUSE-0805";2;"6V/1A";;;
40;"FID1, FID2, FID3, FID4, FID5, FID6, FID7, FID8";"铜柱";8;"Fiducial";;;
